Last 4 Card Digits,Recency,Frequency,Monetary,Cluster,Segment,Churn
3777.0,71,1,15.32,0,Lost,1
3781.0,115,1,145.32999999999998,0,Lost,1
3782.0,46,1,118.13000000000001,1,New,0
3786.0,17,1,51.36,1,New,0
3787.0,68,1,92.87,0,Lost,1
3815.0,14,1,52.5,1,New,0
3818.0,63,1,24.0,0,Lost,1
3820.0,30,1,67.77,1,New,0
3825.0,13,1,52.5,1,New,0
3834.0,28,1,24.07,1,New,0
3840.0,5,1,107.03,1,New,0
3845.0,15,2,93.92,1,New,0
3850.0,35,1,25.66,1,New,0
3861.0,61,1,53.480000000000004,0,Lost,1
3863.0,72,2,181.44,0,Lost,1
3877.0,14,1,124.48,1,New,0
3879.0,7,1,131.06,1,New,0
3882.0,82,1,45.83,0,Lost,1
3885.0,112,1,48.07,0,Lost,1
3889.0,19,1,19.63,1,New,0
3896.0,13,3,241.38,1,New,0
3897.0,113,1,86.19,0,Lost,1
3901.0,13,1,132.2,1,New,0
3904.0,28,1,75.31,1,New,0
3909.0,32,2,217.28,1,New,0
3917.0,6,2,187.84,1,New,0
3927.0,22,1,98.25999999999999,1,New,0
3929.0,34,1,0.0,1,New,0
3931.0,5,1,26.25,1,New,0
3935.0,18,2,99.36999999999999,1,New,0
3937.0,79,1,21.88,0,Lost,1
3960.0,41,1,49.11,1,New,0
3974.0,90,1,306.61,0,Lost,1
3981.0,71,1,79.67,0,Lost,1
3988.0,12,1,92.87,1,New,0
3997.0,13,1,107.02,1,New,0
3999.0,38,1,20.72,1,New,0
4000.0,54,1,96.1,1,New,0
4001.0,68,2,75.47,0,Lost,1
4002.0,91,2,928.86,3,Occasional,0
4004.0,51,3,120.2,1,New,0
4005.0,19,2,147.44,1,New,0
4006.0,97,1,12.55,0,Lost,1
4007.0,5,1,52.5,1,New,0
4008.0,97,1,182.4,0,Lost,1
4009.0,42,2,95.08,1,New,0
4010.0,6,1,62.17999999999999,1,New,0
4012.0,111,1,160.66,0,Lost,1
4013.0,48,1,42.66,1,New,0
4018.0,74,1,51.33,0,Lost,1
4031.0,3,1,53.489999999999995,1,New,0
4043.0,5,1,38.17,1,New,0
4053.0,74,1,29.46,0,Lost,1
4057.0,82,1,26.25,0,Lost,1
4060.0,5,1,297.09,1,New,0
4066.0,112,1,32.82,0,Lost,1
4067.0,29,1,0.0,1,New,0
4085.0,104,1,105.0,0,Lost,1
4086.0,22,1,75.35,1,New,0
4116.0,34,1,187.8,1,New,0
4119.0,6,1,33.86,1,New,0
4124.0,103,1,21.869999999999997,0,Lost,1
4128.0,74,1,57.81,0,Lost,1
4135.0,65,1,100.43,0,Lost,1
4138.0,8,1,180.32,1,New,0
4146.0,76,1,2056.25,3,Occasional,0
4148.0,90,1,88.53999999999999,0,Lost,1
4149.0,76,1,9.26,0,Lost,1
4150.0,69,1,126.72,0,Lost,1
4152.0,14,1,96.15,1,New,0
4156.0,6,1,41.45,1,New,0
4162.0,12,1,50.199999999999996,1,New,0
4168.0,10,5,189.57,1,New,0
4172.0,4,1,48.03,1,New,0
4179.0,6,1,33.91,1,New,0
4180.0,107,1,265.40999999999997,0,Lost,1
4181.0,19,2,171.35999999999999,1,New,0
4183.0,40,1,30.57,1,New,0
4188.0,14,1,63.46,1,New,0
4193.0,76,1,91.78,0,Lost,1
4197.0,13,1,27.29,1,New,0
4205.0,84,1,96.1,0,Lost,1
4219.0,105,1,78.65,0,Lost,1
4220.0,36,2,158.35999999999999,1,New,0
4221.0,41,1,45.84,1,New,0
4223.0,19,1,218.45,1,New,0
4225.0,5,1,29.53,1,New,0
4229.0,34,1,100.46,1,New,0
4234.0,63,1,95.11,0,Lost,1
4235.0,39,1,206.42,1,New,0
4240.0,48,1,215.32999999999998,1,New,0
4249.0,13,1,113.75,1,New,0
4254.0,8,1,87.33,1,New,0
4255.0,27,1,63.379999999999995,1,New,0
4260.0,83,1,78.75,0,Lost,1
4272.0,95,1,52.5,0,Lost,1
4273.0,69,2,155.1,0,Lost,1
4277.0,48,1,75.3,1,New,0
4290.0,25,3,255.68,1,New,0
4291.0,56,1,220.64,1,New,0
4294.0,5,3,54.69,1,New,0
4296.0,76,1,128.88,0,Lost,1
4301.0,28,2,133.23,1,New,0
4304.0,108,1,95.02,0,Lost,1
4308.0,26,1,92.88,1,New,0
4309.0,30,1,8.75,1,New,0
4310.0,78,1,390.09,0,Lost,1
4312.0,13,1,56.7,1,New,0
4316.0,16,1,143.14,1,New,0
4317.0,26,2,91.72999999999999,1,New,0
4318.0,91,2,48.05,0,Lost,1
4319.0,56,1,52.5,1,New,0
4320.0,104,1,26.25,0,Lost,1
4322.0,64,1,37.08,0,Lost,1
4328.0,68,1,187.87,0,Lost,1
4335.0,14,1,128.78,1,New,0
4339.0,105,1,52.5,0,Lost,1
4342.0,5,1,87.35,1,New,0
4359.0,71,1,14.72,0,Lost,1
4361.0,50,2,167.16,1,New,0
4373.0,31,1,26.25,1,New,0
4374.0,104,1,217.42,0,Lost,1
4379.0,47,2,87.4,1,New,0
4383.0,27,2,148.55,1,New,0
4389.0,71,2,135.41,0,Lost,1
4428.0,35,1,39.36,1,New,0
4430.0,111,1,45.93,0,Lost,1
4436.0,9,1,177.01,1,New,0
4439.0,104,1,9.26,0,Lost,1
4440.0,33,1,62.29,1,New,0
4453.0,111,1,88.43,0,Lost,1
4458.0,71,1,68.75,0,Lost,1
4467.0,105,1,0.0,0,Lost,1
4468.0,21,1,69.84,1,New,0
4475.0,19,1,22.92,1,New,0
4476.0,73,1,30.64,0,Lost,1
4478.0,36,1,116.74,1,New,0
4479.0,1,1,147.41,1,New,0
4482.0,44,1,0.0,1,New,0
4494.0,104,1,96.15,0,Lost,1
4495.0,15,1,54.68,1,New,0
4498.0,69,1,48.03,0,Lost,1
4500.0,56,1,79.74,1,New,0
4507.0,73,1,26.25,0,Lost,1
4509.0,84,1,104.8,0,Lost,1
4515.0,91,1,0.0,0,Lost,1
4520.0,76,1,64.46000000000001,0,Lost,1
4525.0,8,1,60.11,1,New,0
4531.0,34,1,285.13,1,New,0
4532.0,85,2,336.28,0,Lost,1
4534.0,77,1,50.22,0,Lost,1
4541.0,90,1,275.33,0,Lost,1
4546.0,7,1,79.84,1,New,0
4548.0,9,1,117.99,1,New,0
4549.0,111,1,52.4,0,Lost,1
4553.0,20,1,77.49,1,New,0
4559.0,89,1,140.78,0,Lost,1
4560.0,110,1,14.21,0,Lost,1
4563.0,19,1,36.61,1,New,0
4565.0,41,1,55.62,1,New,0
4566.0,49,1,89.58,1,New,0
4567.0,78,2,137.55,0,Lost,1
4596.0,90,1,67.65,0,Lost,1
4597.0,19,1,8.75,1,New,0
4600.0,46,1,65.53,1,New,0
4615.0,5,1,109.23,1,New,0
4623.0,21,1,159.38,1,New,0
4626.0,49,1,138.60999999999999,1,New,0
4629.0,68,1,74.28,0,Lost,1
4642.0,82,1,52.5,0,Lost,1
4644.0,43,1,64.38,1,New,0
4645.0,49,1,39.32,1,New,0
4649.0,48,1,131.15,1,New,0
4652.0,33,2,139.72,1,New,0
4654.0,15,1,114.64,1,New,0
4660.0,6,1,51.29,1,New,0
4663.0,108,1,96.1,0,Lost,1
4668.0,15,1,0.0,1,New,0
4669.0,95,2,99.5,0,Lost,1
4672.0,46,1,10.93,1,New,0
4678.0,99,1,133.25,0,Lost,1
4682.0,19,1,81.87,1,New,0
4683.0,22,3,332.19,1,New,0
4685.0,111,1,79.74000000000001,0,Lost,1
4687.0,27,1,367.45,1,New,0
4691.0,48,1,43.7,1,New,0
4704.0,41,2,198.75,1,New,0
4707.0,24,1,0.0,1,New,0
4709.0,43,2,8.75,1,New,0
4714.0,89,1,185.67,0,Lost,1
4720.0,56,1,107.12,1,New,0
4728.0,77,1,21.8,0,Lost,1
4735.0,90,2,329.78999999999996,0,Lost,1
4737.0,34,1,72.03,1,New,0
4738.0,87,2,173.77,0,Lost,1
4751.0,5,2,78.7,1,New,0
4756.0,14,1,17.5,1,New,0
4757.0,15,1,9.81,1,New,0
4774.0,24,2,44.78,1,New,0
4782.0,82,1,64.43,0,Lost,1
4787.0,98,1,376.4,0,Lost,1
4793.0,25,4,55.68,1,New,0
4806.0,27,1,149.65,1,New,0
4808.0,57,2,80.9,1,New,0
4814.0,5,3,171.87,1,New,0
4817.0,76,2,174.78,0,Lost,1
4834.0,56,1,54.64,1,New,0
4836.0,65,1,21.85,0,Lost,1
4840.0,51,1,22.37,1,New,0
4842.0,93,1,45.96,0,Lost,1
4846.0,48,1,42.66,1,New,0
4848.0,107,1,113.63,0,Lost,1
