Last 4 Card Digits,Recency,Frequency,Monetary,Unique_Items,Avg_Order_Val,Avg_Tip,Discount_Used,Visits_Nov,Visits_Dec,Visits_Jan,Days_Since_First,Segment,Segment_Code,Churn,Churn_Probability,Risk_Level,Tier
8504.0,19,1,36.04,4,9.01,18.15,0,0,0,4,19,New,1,1,0.65,Medium,Rule-Based
8516.0,74,1,63.32,3,21.106666666666666,35.0,0,3,0,0,74,Lost,3,1,0.92,High,Rule-Based
8525.0,55,1,35.0,1,8.75,0.07,0,0,4,0,55,Lost,3,1,0.92,High,Rule-Based
8526.0,11,1,92.84,3,23.21,0.0,0,0,0,4,11,New,1,1,0.3,Low,Rule-Based
8532.0,13,1,81.97999999999999,4,16.395999999999997,20.93,0,0,0,5,13,New,1,1,0.3,Low,Rule-Based
8540.0,52,1,224.83,14,11.833157894736843,10.0,0,0,19,0,52,Lost,3,1,0.92,High,Rule-Based
8541.0,79,1,257.03,3,64.2575,17.99,0,4,0,0,79,Lost,3,1,0.92,High,Rule-Based
8557.0,72,1,61.25,2,12.25,10.0,0,5,0,0,72,Lost,3,1,0.92,High,Rule-Based
8558.0,74,1,130.16,3,32.54,13.93,0,4,0,0,74,Lost,3,1,0.92,High,Rule-Based
8563.0,25,1,52.5,1,26.25,15.0,0,0,0,2,25,New,1,1,0.65,Medium,Rule-Based
8573.0,27,1,42.61,2,14.203333333333333,30.0,0,0,0,3,27,New,1,1,0.65,Medium,Rule-Based
8583.0,81,1,113.55,5,18.925,0.0,0,6,0,0,81,Lost,3,1,0.92,High,Rule-Based
8584.0,78,1,57.92999999999999,2,19.31,3.0,0,3,0,0,78,Lost,3,1,0.92,High,Rule-Based
8595.0,11,1,0.0,6,0.0,13.32,0,0,0,6,11,New,1,1,0.3,Low,Rule-Based
8601.0,5,1,184.6,7,20.51111111111111,14.5,0,0,0,9,5,New,1,1,0.3,Low,Rule-Based
8605.0,5,1,50.269999999999996,3,16.756666666666664,12.0,0,0,0,3,5,New,1,1,0.3,Low,Rule-Based
8609.0,5,1,72.13,3,24.043333333333333,4.72,0,0,0,3,5,New,1,1,0.3,Low,Rule-Based
8611.0,7,1,248.04,9,17.717142857142857,10.5,0,0,0,14,7,New,1,1,0.3,Low,Rule-Based
8627.0,80,1,35.0,3,11.666666666666666,7.0,0,3,0,0,80,Lost,3,1,0.92,High,Rule-Based
8631.0,35,1,171.56,6,21.445,26.66,0,0,8,0,35,Lost,3,1,0.92,High,Rule-Based
8644.0,68,1,39.38,1,39.38,6.56,0,1,0,0,68,Lost,3,1,0.92,High,Rule-Based
8648.0,74,1,95.06,5,19.012,25.0,0,5,0,0,74,Lost,3,1,0.92,High,Rule-Based
8649.0,12,1,52.5,2,26.25,10.5,0,0,0,2,12,New,1,1,0.3,Low,Rule-Based
8651.0,51,1,31.73,2,15.865,15.0,0,0,2,0,51,Lost,3,1,0.92,High,Rule-Based
8652.0,3,1,16.41,1,16.41,6.0,0,0,0,1,3,New,1,0,0.3,Low,Rule-Based
8669.0,38,1,48.03,2,24.015,8.65,0,0,2,0,38,Lost,3,1,0.92,High,Rule-Based
8675.0,87,1,112.52,5,22.503999999999998,0.0,0,5,0,0,87,Lost,3,1,0.92,High,Rule-Based
8690.0,68,1,91.7,4,22.925,16.51,0,4,0,0,68,Lost,3,1,0.92,High,Rule-Based
8704.0,18,1,101.57,5,20.314,0.0,0,0,0,5,18,New,1,1,0.65,Medium,Rule-Based
8709.0,18,1,221.91,3,73.97,0.0,0,0,0,3,18,New,1,1,0.65,Medium,Rule-Based
8730.0,87,1,18.54,1,18.54,8.0,0,1,0,0,87,Lost,3,1,0.92,High,Rule-Based
8754.0,59,1,154.98,8,17.22,8.0,0,0,9,0,59,Lost,3,1,0.92,High,Rule-Based
8759.0,33,1,112.56,5,22.512,20.26,0,0,5,0,33,Lost,3,1,0.92,High,Rule-Based
8760.0,32,1,119.03999999999999,4,23.808,7.43,0,0,5,0,32,Lost,3,1,0.92,High,Rule-Based
8763.0,8,1,69.88,3,23.293333333333333,16.81,0,0,0,3,8,New,1,1,0.3,Low,Rule-Based
8767.0,67,1,48.07,2,24.035,5.0,0,2,0,0,67,Lost,3,1,0.92,High,Rule-Based
8782.0,62,1,8.75,1,8.75,11.8,0,1,0,0,62,Lost,3,1,0.92,High,Rule-Based
8792.0,83,1,124.6,3,24.919999999999998,8.75,0,5,0,0,83,Lost,3,1,0.92,High,Rule-Based
8795.0,33,1,137.64,5,27.528,0.0,0,0,5,0,33,Lost,3,1,0.92,High,Rule-Based
8800.0,82,1,111.36,6,18.56,2.9500000000000006,0,6,0,0,82,Lost,3,1,0.92,High,Rule-Based
8804.0,29,1,92.82,5,18.564,0.0,0,0,0,5,29,Lost,3,1,0.65,Medium,Rule-Based
8805.0,12,1,118.03,5,23.606,13.559999999999999,0,0,0,5,12,New,1,1,0.3,Low,Rule-Based
8806.0,60,1,155.71,9,17.301111111111112,0.0,1,0,9,0,60,Lost,3,1,0.92,High,Rule-Based
8821.0,5,1,112.52,4,28.13,15.72,0,0,0,4,5,New,1,1,0.3,Low,Rule-Based
8831.0,67,1,26.25,1,26.25,5.0,0,1,0,0,67,Lost,3,1,0.92,High,Rule-Based
8834.0,87,1,162.62,8,14.783636363636363,3.090909090909091,0,11,0,0,87,Lost,3,1,0.92,High,Rule-Based
8841.0,84,1,37.15,2,18.575,6.0,0,2,0,0,84,Lost,3,1,0.92,High,Rule-Based
8842.0,59,1,102.61,5,17.101666666666667,16.0,0,0,6,0,59,Lost,3,1,0.92,High,Rule-Based
8843.0,82,1,16.41,1,16.41,15.0,0,1,0,0,82,Lost,3,1,0.92,High,Rule-Based
8847.0,48,1,55.69,3,18.563333333333333,5.0,0,0,3,0,48,Lost,3,1,0.92,High,Rule-Based
8848.0,80,1,201.13,10,18.284545454545455,7.44,0,11,0,0,80,Lost,3,1,0.92,High,Rule-Based
8863.0,54,1,78.84,1,6.57,5.0,0,0,12,0,54,Lost,3,1,0.92,High,Rule-Based
8868.0,19,1,76.5,5,15.3,20.0,0,0,0,5,19,New,1,1,0.65,Medium,Rule-Based
8871.0,67,1,0.0,2,0.0,0.0,2,2,0,0,67,Lost,3,1,0.92,High,Rule-Based
